breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Dunker,Norway,https://en.wikipedia.org/wiki/Dunker,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dunker.jpg/220px-Dunker.jpg,,25–39 pounds (11–18 kg),"Straight, hard, dense, and not too short",Not available,Norwegian Hound,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/4/48/Dunker.jpg,,19.5–21.5 inches (50–55 cm),,18.5–20.5 inches (47–52 cm),,
Dutch Smoushond,Netherlands,https://en.wikipedia.org/wiki/Dutch_Smoushond,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Hollandse_Smoushond_Amsterdam_cropped.jpg/220px-Hollandse_Smoushond_Amsterdam_cropped.jpg,Not available,Not available,Not available,Not available,Dutch RatterHollandse Smoushond,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/7/70/Hollandse_Smoushond_Amsterdam_cropped.jpg,,,,,,
East European Shepherd,USSRRussian FederationUkraine,https://en.wikipedia.org/wiki/East-European_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Vostochno_Evropeiskaya_Ovcharka.jpg/220px-Vostochno_Evropeiskaya_Ovcharka.jpg,,34–48 kg (75–105 lb),Not available,Not available,Vostochno Evropeiskaya OvcharkaVEORussian: Восточно-европейская овчаркаВЕО,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Vostochno_Evropeiskaya_Ovcharka.jpg/330px-Vostochno_Evropeiskaya_Ovcharka.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Vostochno_Evropeiskaya_Ovcharka.jpg/440px-Vostochno_Evropeiskaya_Ovcharka.jpg,67–72 cm (26–28 in),,62–67 cm (24–26 in),,
Ecuadorian Hairless Dog,,https://en.wikipedia.org/wiki/Ecuadorian_Hairless_Dog,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,,,,,,Not available
English Cocker Spaniel,England,https://en.wikipedia.org/wiki/English_Cocker_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/%22Bill%22_-_Cocker_spaniel_anglais_2.JPG/220px-%22Bill%22_-_Cocker_spaniel_anglais_2.JPG,Not available,Not available,Not available,Not available,Cocker Spaniel,"Cocker, Cocker Spaniel",Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/%22Bill%22_-_Cocker_spaniel_anglais_2.JPG/330px-%22Bill%22_-_Cocker_spaniel_anglais_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/%22Bill%22_-_Cocker_spaniel_anglais_2.JPG/440px-%22Bill%22_-_Cocker_spaniel_anglais_2.JPG,,,,,
English Foxhound,Great Britain - England,https://en.wikipedia.org/wiki/English_Foxhound,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/English_Foxhound_portrait.jpg/220px-English_Foxhound_portrait.jpg,23–25 inches (58–64 cm),Not available,Not available,Not available,Foxhound,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/English_Foxhound_portrait.jpg/330px-English_Foxhound_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/English_Foxhound_portrait.jpg/440px-English_Foxhound_portrait.jpg,,,,,
English Mastiff,England,https://en.wikipedia.org/wiki/English_Mastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Westgort_Anticipation_17_months.JPG/220px-Westgort_Anticipation_17_months.JPG,,,"Fine, smooth",Not available,Mastiff,Not available,"apricot-fawn, silver-fawn, fawn, or dark fawn-brindle",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Westgort_Anticipation_17_months.JPG/330px-Westgort_Anticipation_17_months.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Westgort_Anticipation_17_months.JPG/440px-Westgort_Anticipation_17_months.JPG,76 centimetres (30 in) minimum,73 to 104 kilograms (160 to 230 lb),,,
English Shepherd,United States,https://en.wikipedia.org/wiki/English_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/TricolorEnglishShepherdDog.jpg/220px-TricolorEnglishShepherdDog.jpg,,,Long,Not available,"Farm Collie, Farm Shepherd, Old Farm Collie",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/5/54/TricolorEnglishShepherdDog.jpg,,19–23 in (48–58 cm),45–60 lb (20–27 kg),18–22 in (46–56 cm),40–50 lb (18–23 kg),
English Springer Spaniel,England,https://en.wikipedia.org/wiki/English_Springer_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/English_Springer_Spaniel_in_Tallinn.JPG/220px-English_Springer_Spaniel_in_Tallinn.JPG,Not available,Not available,Not available,Not available,Springer Spaniel,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/English_Springer_Spaniel_in_Tallinn.JPG/330px-English_Springer_Spaniel_in_Tallinn.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/English_Springer_Spaniel_in_Tallinn.JPG/440px-English_Springer_Spaniel_in_Tallinn.JPG,,,,,
English Toy Terrier (Black & Tan),England,https://en.wikipedia.org/wiki/English_Toy_Terrier_(Black_%26_Tan),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/English_Toy_Terrier_600_01.jpg/220px-English_Toy_Terrier_600_01.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/English_Toy_Terrier_600_01.jpg/330px-English_Toy_Terrier_600_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/English_Toy_Terrier_600_01.jpg/440px-English_Toy_Terrier_600_01.jpg,,,,,
